지역구,주소
종로구,서울특별시 종로구 신문로1가 1-1번지
종로구,서울특별시 종로구 내자동 61-1번지
종로구,서울특별시 종로구 혜화동 93번지
종로구,서울특별시 종로구 창신동 464-16번지
종로구,서울특별시 종로구 동숭동 28번지
종로구,서울특별시 종로구 연건동 78-2번지
종로구,서울특별시 종로구 명륜4가 187번지
종로구,"서울 종로구 율곡로271,(종로6가) 1층"
종로구,서울특별시 종로구 삼청동 22번지
종로구,서울특별시 종로구 신교동 36번지 수만빌리지
종로구,서울특별시 종로구 종로31길 54 아르젠오피스텔 101호
종로구,서울특별시 종로구 관철동 14-10번지
종로구,서울특별시 종로구 필운동41번지
종로구,서울특별시 종로구 와룡동25번지
종로구,서울특별시 종로구 인사동255-5번지  1호 1층 103호
종로구,서울특별시 종로구 원서동45번지
종로구,서울특별시 종로구 평창동97-9번지
종로구,서울특별시 종로구 행촌동210-113번지
종로구,서울 종로구 홍지동 94-2 1층
종로구,서울 종로구 필운대로 39(누하동 57-2)
종로구,"서울 종로구 난계로 259, 101호 (숭인동 1367, 경일오피스텔)"
종로구,서울 종로구 도렴동 110-1번지 103호
종로구,서울특별시 종로구 계동(가회동) 115-1
종로구,서울특별시 종로구 종로2가(종로1.2.3.4가동) 44
종로구,서울특별시 종로구 종로6가(종로5.6가동) 238-6
종로구,서울특별시 종로구 종로6가(종로5.6가동) 247-1
종로구,서울특별시 종로구 창신동(창신1동) 154-1
종로구,서울특별시 종로구 충신동(종로5.6가동) 52-2
종로구,명륜동2가 135
종로구,서울 종로구 필운동 163
종로구,인사동 131-101
종로구,혜화동 111-7
종로구,서울시 종로구 평창동 343-1
종로구,서울시 종로구 동숭길 143 1층 101호
종로구, 서울시 종로구 숭인동(숭인2동) 178-142
중구,남대문로5가 84-6번지
중구,남대문로3가 85번지
중구,서울특별시 중구 회현동3가 1-9번지
중구,서울특별시 중구 순화동 1-104번지
중구,서울 중구 서애로21 1층
중구,서울특별시 중구 회현동1가 190번지
중구,서울특별시 중구 흥인동 156번지
중구,서울특별시 중구 신당동 336-3번지
중구,서울특별시 중구 신당동 387-3번지
중구,서울 중구 북창동 98
중구,서울 중구 신당동 843 삼성@ 2동B 101호
중구,서울특별시 중구 서소문동(소공동) 21-1
중구,서울특별시 중구 남산동2가(명동) 27-1
중구,서울특별시 중구 신당동(약수동) 348-152
중구,서울특별시 중구 신당동(약수동) 368-67
중구,서울특별시 중구 충무로5가(필동) 85-4
중구,남대문로5가6-23 24번지
중구,남대문로5가 21-1번지 신남문 빌딩
중구,회현동2가87 B-102호
중구,서울시 중구 장충동2가 193-239
중구,을지로2가 195-3번지 한양빌딩 103호
중구,명동2가2-17
중구,충무로1가소공로 66 101호
중구,서소문동 57-7 대건빌당 101
중구,충무로2가62-10 청방빌딩 1층
중구,초동16-9
중구,서울특별시 중구 명동2가 남대문로 68  1층2층
중구,충무로4가 132-3
중구,"서울 중구 남대문로 7 (남대문로4가 17-10, 흥국생명남대문2호별관1층)"
중구,"서울 중구 동호로17길 295, 1층 일부 (신당동 366-440)"
중구,"서울 중구 청계천로 318, 가동 1층 53호 (신당동 217-92, 동평화의류상가)"
중구,서울특별시 중구 신당동347-332번지
중구,서울 중구 무교동 21-3(정오빌딩)
중구,서울 중구 중림동 244 충정로 삼성APT 상가 103
중구,서울 중구 예장동 8-35
중구,서울 중구 황학동 마장로 89
중구,서울 중구 광희동2가 퇴계로 330-1
용산구,서울특별시 용산구 청파동3가 135-9번지
용산구,서울특별시 용산구 한강로2가 93-4번지 108호
용산구,서울특별시 용산구 보광동 22-1번지
용산구,서울특별시 용산구 신창동 59-4번지
용산구,서울특별시 용산구 원효로4가 117-8번지
용산구,서울특별시 용산구 삼개로 60
용산구,서울특별시 용산구 한강로2가 2-11번지 한강로대우아이빌
용산구,서울 용산구 이태원로 54길 11
용산구,서울특별시 용산구 한남동 795-2번지 102호
용산구,서울특별시 용산구 용산동2가 39-16번지
용산구,서울특별시 용산구 원효로3가 56-4번지
용산구,서울특별시 용산구 원효로2가 1-55번지
용산구,서울특별시 용산구 이태원동 368-4번지
용산구,서울특별시 용산구 이태원동 20-5번지
용산구,서울특별시 용산구 한강로2가 2-8번지 벽산메가트리움 104동 201호
용산구,서울특별시 용산구 이촌동300-23번지 한강맨숀
용산구,"서울 용산구 장문로45길 73, 1층(보광동 264-52)"
용산구,서울 용산구 갈월동 53-19그린빌파크101-B
용산구,서울 용산구 이촌로72길 62 (이촌동 302-17)
용산구,서울 용산구 이촌동 362-1번지
용산구,청파로395
용산구,한강로3가(한강로동) 63-389
용산구,원효로2가(원효로1동) 80-19
용산구,"이촌로 303 현대A 제21동 제104호-나호, 제105호-가호"
용산구,"산천동 77-4, 78-1, 79"
용산구,서계동237-7
용산구,한강로3가40-999 IPark Mall 3층 980호
용산구,문배동 24-21 용산아크로타워 103
용산구,후암동105-64
용산구,한남동 28-11
용산구,서울 용산구 청파로73길 7 1층
용산구,서울 용산구 보광동 238-1
용산구,서울 용산구 이촌로14길 11-6 101호
용산구,서울 용산구 청파동2가 청파로 47나길 35
성동구, 마장동 768-1번지 안민빌딩 109호
성동구, 장터길 34
성동구, 도선동 14번지 신한넥스텔 102호
성동구, 도선동 148번지 외 2필지
성동구, 행당동 4-11번지
성동구, 금호1가동128-1번지
성동구, 성덕정길 128(성수2가1동 223-11)
성동구, 사근동 190-11
성동구," 왕십리로 지하 374, 207-02호(하왕십리동, 상왕십리역)"
성동구," 매봉길 13, 404호 (옥수동, GS25 옥수리버젠)"
성동구, 사근동길 10(행당1동 16-15)
성동구, 사근동길 42(사근동 301-3)
