기간,지역구,지가
2017,종로구,1023000
2017,종로구,3225000
2017,종로구,3387000
2017,종로구,3352000
2017,종로구,3387000
2018,종로구,394800
2018,종로구,1082000
2018,종로구,2960000
2018,종로구,1029000
2018,종로구,394800
2019,종로구,3543000
2019,종로구,3962000
2019,종로구,3417000
2019,종로구,3388000
2019,종로구,3417000
2017,중구,13160000
2017,중구,23300000
2017,중구,14090000
2017,중구,14090000
2017,중구,10190000
2018,중구,15180000
2018,중구,15180000
2018,중구,11250000
2018,중구,11250000
2018,중구,11250000
2019,중구,12700000
2019,중구,29770000
2019,중구,17190000
2019,중구,17190000
2019,중구,52100000
2017,용산구,3513000
2017,용산구,968800
2017,용산구,3064000
2017,용산구,3467000
2017,용산구,3467000
2018,용산구,3760000
2018,용산구,3760000
2018,용산구,6497000
2018,용산구,4102000
2018,용산구,1323000
2019,용산구,4550000
2019,용산구,4994000
2019,용산구,4550000
2019,용산구,4977000
2019,용산구,4977000
2017,성동구,4100000
2017,성동구,4100000
2017,성동구,4100000
2017,성동구,2471000
2017,성동구,1976000
2018,성동구,10800000
2018,성동구,2759000
2018,성동구,1439000
2018,성동구,1419000
2018,성동구,1565000
2019,성동구,11660000
2019,성동구,11400000
2019,성동구,11400000
2019,성동구,1617000
2019,성동구,2970000
2017,광진구,966500
2017,광진구,2873000
2017,광진구,2762000
2017,광진구,2821000
2017,광진구,2214000
2018,광진구,2050000
2018,광진구,2050000
2018,광진구,2655000
2018,광진구,2655000
2018,광진구,2655000
2019,광진구,2723000
2019,광진구,2723000
2019,광진구,2774000
2019,광진구,3480000
2019,광진구,3542000
2017,동대문구,5330000
2017,동대문구,1006000
2017,동대문구,1006000
2017,동대문구,1006000
2017,동대문구,2897000
2018,동대문구,4099000
2018,동대문구,3369000
2018,동대문구,3341000
2018,동대문구,4765000
2018,동대문구,4573000
2019,동대문구,1267000
2019,동대문구,1122000
2019,동대문구,2964000
2019,동대문구,4257000
2019,동대문구,3416000
2017,중랑구,763200
2017,중랑구,763200
2017,중랑구,763200
2017,중랑구,763200
2017,중랑구,763200
2018,중랑구,874500
2018,중랑구,874500
2018,중랑구,851400
2018,중랑구,851400
2018,중랑구,851400
2019,중랑구,2400000
2019,중랑구,2400000
2019,중랑구,3085000
2019,중랑구,924000
2019,중랑구,2702000
2017,성북구,884400
2017,성북구,884400
2017,성북구,1273000
2017,성북구,1273000
2017,성북구,1273000
2018,성북구,5129000
2018,성북구,2412000
2018,성북구,796100
2018,성북구,3777000
2018,성북구,3041000
2019,성북구,5337000
2019,성북구,1650000
2019,성북구,5337000
2019,성북구,5242000
2019,성북구,3790000
2017,강북구,2300000
2017,강북구,759000
2017,강북구,2300000
2017,강북구,2300000
2017,강북구,2141000
2018,강북구,227500
2018,강북구,223000
2018,강북구,2510000
2018,강북구,828300
2018,강북구,2510000
2019,강북구,2484000
2019,강북구,6617000
2019,강북구,3106000
2019,강북구,689700
2019,강북구,2780000
2017,도봉구,2187000
2017,도봉구,2521000
2017,도봉구,2462000
2017,도봉구,2462000
2017,도봉구,1814000
2018,도봉구,1598000
2018,도봉구,1551000
2018,도봉구,181500
2018,도봉구,197200
2018,도봉구,2345000
2019,도봉구,730200
2019,도봉구,340800
2019,도봉구,80900
2019,도봉구,1370000
2019,도봉구,1630000
2017,노원구,970000
2017,노원구,53500
2017,노원구,53500
2017,노원구,1570000
2017,노원구,518100
2018,노원구,1624000
2018,노원구,6790000
2018,노원구,765600
2018,노원구,765600
2018,노원구,867900
2019,노원구,782100
2019,노원구,1511000
2019,노원구,782100
2019,노원구,690100
2019,노원구,759000
2017,은평구,3912000
2017,은평구,2624000
2017,은평구,2624000
2017,은평구,3912000
2017,은평구,3912000
2018,은평구,2009000
2018,은평구,2049000
2018,은평구,656700
2018,은평구,2049000
2018,은평구,1990000
2019,은평구,2205000
2019,은평구,2027000
2019,은평구,3254000
2019,은평구,3131000
2019,은평구,4357000
2017,서대문구,10200000
2017,서대문구,10200000
